lat,lon,u850,v850,q850,z500,rh850,mslp,t2m,driver,share
6.75,81.25,2.1662757,2.9320471,3.0398319,2.0806832,8.362544,4.2196965,4.8580875,rh850,0.3023426
6.75,81.5,2.5650103,2.5530295,2.8307123,2.0083427,8.694486,3.2394512,5.1007433,rh850,0.3221161
6.75,81.75,2.0534794,1.6588255,2.5882165,1.2320849,10.181837,2.787835,2.7428024,rh850,0.43802118
6.75,82.0,2.121531,1.8643321,2.8917825,1.2475743,10.360305,3.005146,1.5001725,rh850,0.45062748
6.75,82.25,2.133469,1.1222321,2.837566,1.5267519,11.118525,2.269414,1.5247353,rh850,0.4934397
6.75,82.5,2.5872436,1.8571491,3.5043335,1.6913162,10.557932,3.309416,1.9788476,rh850,0.41426012
6.75,82.75,2.2619457,1.5824876,3.1405118,1.2977433,10.70673,2.968442,1.6409601,rh850,0.45369768
6.75,83.0,2.5214355,1.4732995,3.039944,1.4784298,10.320855,2.9517844,1.9035802,rh850,0.4356753
6.75,83.25,1.9033844,1.0074764,2.2529833,1.520665,11.013527,2.1998658,2.112195,rh850,0.50038517
6.75,83.5,1.9714955,1.3962487,2.7683864,1.5068859,10.12596,2.75292,2.0737522,rh850,0.44813764
6.75,83.75,2.302892,1.2922227,2.9093661,1.4310293,9.985439,2.9051702,1.7120538,rh850,0.44304562
6.75,84.0,3.0305111,2.2581866,3.3385599,1.5988784,10.342607,2.6733327,1.6561908,rh850,0.4153947
6.75,84.25,3.163336,1.3673018,3.852004,1.4227562,10.407158,2.5384345,1.755254,rh850,0.4246737
6.75,84.5,2.7512581,2.027124,3.1812317,1.6023324,9.833539,2.3605344,1.5100319,rh850,0.42265612
6.75,84.75,2.376059,2.3007202,2.3988323,1.4540521,9.498772,2.4932814,1.7817458,rh850,0.42588776
6.75,85.0,2.4591935,2.1016064,3.0108476,1.6565152,9.327114,2.7651036,1.6485146,rh850,0.40607587
6.75,85.25,2.6028545,0.9936097,2.6228392,1.4601022,9.633592,2.6598432,1.4144673,rh850,0.450435
6.75,85.5,3.223887,2.0068324,3.0822022,1.3774279,9.739801,2.485377,1.6532677,rh850,0.41324988
6.75,85.75,2.7380724,3.948021,3.279899,1.3714879,8.989232,2.575745,1.8189192,rh850,0.36362186
6.75,86.0,3.4220004,3.4925482,3.0503857,1.7088203,9.643205,3.0446765,1.5172875,rh850,0.37262774
6.75,86.25,2.5450385,1.3694679,2.6941597,1.5716485,9.668123,2.744816,1.695362,rh850,0.43376955
